taxon	stderr	estimate
CAG-115 sp900768705	0.256480614466142	0.169379331701024
CAG-1193 sp000436255	0.292946832279387	0.0858922691772814
CAG-1193 sp900550145	0.307558633045909	-0.136513875406011
CAG-127 sp900319515	0.208700115242331	-0.0957180008825433
CAG-127 sp900539705	0.188025363104954	-0.121706651238032
CAG-127 sp900553925	0.162868658313361	-0.0486470517310578
CAG-127 sp900766925	0.131065514564464	-0.074287083560538
CAG-127 sp900767585	0.20340645742926	-0.0319470116818423
CAG-1427 sp000434775	0.289010771235519	-0.0717871300872334
CAG-1427 sp000435475	0.71313766582516	-0.11838706578462
CAG-1427 sp000435675	0.0648934121675376	-0.133421715243517
CAG-1427 sp900538545	0.145550263866083	-0.314865578063936
CAG-1427 sp900542525	0.0863786759144463	-0.164947682503077
CAG-1427 sp900546175	0.127803671767716	0.0331497951590295
CAG-1427 sp900548955	0.150910958244431	-0.104244909710495
CAG-1427 sp900553605	0.537451587334074	0.589012766152022
CAG-1427 sp900556585	0.0776075743680289	0.127986378007093
CAG-145 sp000435715	0.240399032301214	0.31142722107527
CAG-145 sp002320005	0.0360788450661956	-0.00950438904932398
CAG-145 sp900540145	0.0516659094715673	0.0751905131862979
CAG-145 sp900542295	0.0787833371865913	0.0261831421153577
CAG-145 sp900542565	0.393010242927183	0.280612499291923
CAG-145 sp900545135	0.173809615392805	0.111741805791835
CAG-145 sp900754795	0.221264763775759	0.226060278075259
CAG-170 sp000432135	0.105195210462254	-0.0575315540956264
CAG-170 sp000436735	0.223322102435283	0.117912914534266
CAG-170 sp002404795	0.402304592024365	0.161948104555928
CAG-170 sp003516765	0.49079096281246	0.384550715702838
CAG-170 sp900545925	0.295685277514993	0.0984541561932694
CAG-170 sp900548625	0.234149870323073	0.116875965402514
CAG-170 sp900549635	0.171648969093561	-0.131097621020321
CAG-170 sp900553545	0.278767361916112	0.0503609097551339
CAG-170 sp900555665	0.351180265655291	0.2567903995349
CAG-170 sp900751035	0.226486049429747	0.123681284634871
CAG-177 sp000431775	0.247623812898669	0.217943608569979
CAG-177 sp003514385	0.145631944279407	0.234440300744647
CAG-177 sp003538135	0.221248614742535	0.352986886136317
CAG-177 sp900770255	0.32248151097953	0.503085386609559
CAG-177 sp900771185	0.217517965759782	0.334007509719226
CAG-180 sp000432435	0.474767449448061	0.751575431370863
CAG-180 sp004556705	0.0994458580252788	0.193959449327169
CAG-180 sp900540295	0.0878181975766195	-0.0434914380402284
CAG-180 sp900545625	0.0847295200848471	-0.0415739023477329
CAG-180 sp900766945	0.0492648558589513	0.0723645616403587
CAG-194 sp000432915	0.068927762377778	-0.025131995520331
CAG-196 sp002102975	0.0935583634477778	-0.0685553151640488
CAG-196 sp900549855	0.112511196982172	-0.100750547035612
CAG-196 sp900553895	0.0744844948078773	0.053874151397855
CAG-217 sp000436335	0.17459202682622	-0.355795263879326
CAG-217 sp900547275	0.0813633820109547	0.0238573255680894
CAG-238 sp000435615	0.490212197542565	0.32000621450435
CAG-238 sp900542245	0.126098064308223	0.000759735932503724
CAG-238 sp900551415	0.368171090241513	0.241536322970086
CAG-238 sp900754805	0.209564631060302	0.0960007024784814
CAG-245 sp000434195	0.126601813060081	0.158920407190012
CAG-245 sp000435175	0.168174064469793	-0.376661692459489
CAG-245 sp900552135	0.293640849101013	0.311640716758631
CAG-245 sp900758165	0.0722518391282377	0.0848044889735697
CAG-245 sp900761475	0.254635050284669	0.0668269319378874
CAG-269 sp000431335	0.545194917476584	0.355335186903229
CAG-269 sp000435535	0.0742696258568295	0.0714552326597123
CAG-269 sp000437215	0.247518562113129	0.0908272758413214
CAG-269 sp000438255	0.166283239608989	-0.340872315491011
CAG-269 sp001916005	0.328917724918371	-0.155938479252705
CAG-269 sp001916035	0.0713945232973862	-0.132142495192195
CAG-269 sp001916055	0.229607871736098	-0.165335174561742
CAG-269 sp001916065	0.175045456594801	-0.37845884906839
CAG-269 sp003525075	0.186386915249446	-0.211177363729107
CAG-269 sp900551615	0.0769998809443039	-0.131283922459595
